input,target
Q: (9 * 3) = , A: 27
Q: (2 + 9) = , A: 11
Q: (10 - 7) = , A: 3
Q: (10 + 4) = , A: 14
Q: (3 * 2) = , A: 6
Q: ((6 + 3) + (3 - 2)) = , A: 10
Q: (5 - 3) = , A: 2
Q: (3 * 4) = , A: 12
Q: ((3 * 1) - (1 + 4)) = , A: -2
Q: (8 + 9) = , A: 17
Q: ((5 - 10) + (6 - 1)) = , A: 0
Q: (9 * 9) = , A: 81
Q: ((7 * 10) * (5 + 5)) = , A: 700
Q: (2 - 1) = , A: 1
Q: (10 - 6) = , A: 4
Q: ((3 + 1) - (4 * 3)) = , A: -8
Q: (10 + 4) = , A: 14
Q: ((4 + 10) * (7 * 5)) = , A: 490
Q: ((1 + 5) * (5 + 5)) = , A: 60
Q: ((2 * 8) + (8 - 2)) = , A: 22
Q: ((1 - 7) * (5 - 6)) = , A: 6
Q: (8 + 5) = , A: 13
Q: ((3 - 6) - (6 - 6)) = , A: -3
Q: ((4 + 10) + (5 * 8)) = , A: 54
Q: ((8 * 3) + (4 * 2)) = , A: 32
Q: (5 * 1) = , A: 5
Q: (6 + 4) = , A: 10
Q: (6 * 3) = , A: 18
Q: (9 * 3) = , A: 27
Q: (7 * 10) = , A: 70
Q: (1 - 8) = , A: -7
Q: (5 * 4) = , A: 20
Q: ((8 * 10) * (9 + 4)) = , A: 1040
Q: ((7 - 8) - (2 - 9)) = , A: 6
Q: (2 + 3) = , A: 5
Q: (4 * 6) = , A: 24
Q: ((6 + 10) + (4 - 7)) = , A: 13
Q: (10 * 8) = , A: 80
Q: ((7 * 3) - (1 * 2)) = , A: 19
Q: (10 + 5) = , A: 15
Q: (8 + 8) = , A: 16
Q: (9 - 2) = , A: 7
Q: ((7 + 8) - (1 * 2)) = , A: 13
Q: ((9 - 10) + (10 * 4)) = , A: 39
Q: ((3 - 6) + (5 * 5)) = , A: 22
Q: (2 * 7) = , A: 14
Q: ((9 - 3) * (1 + 1)) = , A: 12
Q: ((1 - 9) - (2 * 1)) = , A: -10
Q: (10 - 5) = , A: 5
Q: (9 + 5) = , A: 14
Q: ((2 * 5) - (9 + 9)) = , A: -8
Q: ((1 - 10) + (3 * 1)) = , A: -6
Q: (3 * 10) = , A: 30
Q: ((1 - 5) * (3 - 4)) = , A: 4
Q: (2 - 3) = , A: -1
Q: (1 - 3) = , A: -2
Q: ((1 + 7) - (2 + 5)) = , A: 1
Q: ((10 - 2) - (10 + 3)) = , A: -5
Q: (9 * 6) = , A: 54
Q: ((3 * 1) + (5 + 5)) = , A: 13
Q: ((6 - 3) * (9 * 8)) = , A: 216
Q: ((4 * 4) - (8 + 3)) = , A: 5
Q: (1 + 1) = , A: 2
Q: ((8 - 6) - (6 - 2)) = , A: -2
Q: ((7 - 1) - (9 * 4)) = , A: -30
Q: (8 + 9) = , A: 17
Q: ((9 - 9) + (9 * 3)) = , A: 27
Q: (10 - 1) = , A: 9
Q: ((2 + 8) + (10 - 5)) = , A: 15
Q: ((5 - 1) * (2 * 4)) = , A: 32
Q: ((6 * 5) * (10 + 3)) = , A: 390
Q: (6 - 9) = , A: -3
Q: (7 - 8) = , A: -1
Q: (3 + 2) = , A: 5
